lot_id,station_id,num_cells,avg_final_soh,avg_capacity_fade_rate,avg_resistance_growth_rate,escalation_rate,early_degradation_rate,thermal_anomaly_rate,impedance_spike_rate
LOT-001,ST-01,1,0.7875,0.000587,0.010443,1.0,1.0,0.0,1.0
LOT-001,ST-02,2,0.8371,0.000365,0.002499,0.0,0.0,0.0,0.0
LOT-001,ST-04,2,0.8262,0.000374,0.002568,0.0,0.0,0.0,0.0
LOT-001,ST-05,1,0.7581,0.000596,0.003987,1.0,1.0,0.0,0.0
LOT-001,ST-06,1,0.5919,0.000718,0.004999,1.0,1.0,1.0,0.0
LOT-001,ST-07,1,0.7568,0.000398,0.00285,0.0,0.0,1.0,0.0
LOT-002,ST-02,2,0.8324,0.000334,0.002298,0.0,0.0,0.5,0.0
LOT-002,ST-03,1,0.8598,0.000305,0.001852,0.0,0.0,0.0,0.0
LOT-002,ST-04,3,0.8549,0.000344,0.001995,0.3333,0.3333,0.6667,0.0
LOT-002,ST-06,1,0.9297,0.00022,0.001282,0.0,0.0,0.0,0.0
LOT-002,ST-07,1,0.7968,0.000315,0.001905,0.0,0.0,1.0,0.0
LOT-002,ST-08,1,0.899,0.000205,0.00147,0.0,0.0,0.0,0.0
LOT-003,ST-01,3,0.7817,0.000466,0.002736,0.6667,0.6667,0.6667,0.0
LOT-003,ST-02,1,0.8177,0.000389,0.002133,0.0,0.0,0.0,0.0
LOT-003,ST-03,2,0.8416,0.000337,0.002108,0.0,0.0,0.0,0.0
LOT-003,ST-04,1,0.8737,0.000245,0.001513,0.0,0.0,0.0,0.0
LOT-003,ST-05,1,0.7741,0.000377,0.006882,1.0,0.0,0.0,1.0
LOT-003,ST-06,1,0.8905,0.000285,0.001586,0.0,0.0,0.0,0.0
LOT-004,ST-01,1,0.8499,0.000242,0.001287,0.0,0.0,0.0,0.0
LOT-004,ST-02,2,0.8698,0.000241,0.001581,0.0,0.0,0.0,0.0
LOT-004,ST-03,3,0.8763,0.000327,0.001822,0.3333,0.3333,0.3333,0.0
LOT-004,ST-04,2,0.9307,0.000217,0.001261,0.0,0.0,0.0,0.0
LOT-004,ST-08,2,0.8509,0.000325,0.001653,0.0,0.0,0.0,0.0
LOT-005,ST-02,1,0.8826,0.000222,0.001648,0.0,0.0,0.0,0.0
LOT-005,ST-04,5,0.8552,0.00028,0.002062,0.0,0.0,0.8,0.0
LOT-005,ST-06,1,0.93,0.000211,0.001221,0.0,0.0,0.0,0.0
LOT-005,ST-07,1,0.863,0.000358,0.003302,0.0,0.0,1.0,0.0
LOT-005,ST-08,1,0.8558,0.00034,0.003543,0.0,0.0,0.0,0.0
LOT-006,ST-01,1,0.8795,0.000301,0.001637,0.0,0.0,0.0,0.0
LOT-006,ST-02,1,0.8457,0.00032,0.002011,0.0,0.0,0.0,0.0
LOT-006,ST-03,2,0.8809,0.000293,0.001321,0.0,0.0,0.0,0.0
LOT-006,ST-04,2,0.8445,0.000314,0.002007,0.0,0.0,1.0,0.0
LOT-006,ST-05,3,0.9096,0.000243,0.001286,0.0,0.0,0.0,0.0
LOT-006,ST-06,3,0.8218,0.000343,0.001911,0.0,0.0,0.3333,0.0
LOT-006,ST-07,1,0.863,0.000327,0.00139,0.0,0.0,1.0,0.0
LOT-006,ST-08,1,0.8287,0.000366,0.0021,0.0,0.0,1.0,0.0
